OrderID,OrderDate,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,CustomerID,Segment
SO100115,2024-03-30,North,Office Supplies,Paper,27.38,1,0.0,4.27,C1562,Consumer
SO100116,2024-05-29,East,Office Supplies,Pens,266.45,1,0.0,14.07,C6565,Small Business
SO100117,2024-08-11,West,Office Supplies,Storage,163.57,5,0.0,43.45,C6623,Consumer
SO100118,2023-05-30,South,Office Supplies,Paper,281.86,3,0.0,82.61,C4669,Home Office
SO100119,2024-12-16,South,Office Supplies,Binders,106.61,5,0.0,6.33,C4113,Small Business
SO100120,2023-09-21,West,Office Supplies,Pens,34.88,5,0.2,11.08,C9855,Corporate
SO100121,2023-03-19,East,Technology,Accessories,199.04,5,0.0,82.06,C7536,Consumer
SO100122,2024-12-13,South,Furniture,Tables,19.01,5,0.1,0.87,C1675,Home Office
SO100123,2023-03-17,South,Technology,Copiers,603.56,2,0.2,220.61,C5198,Consumer
SO100124,2023-11-29,North,Furniture,Tables,55.59,4,0.1,8.61,C8464,Corporate
SO100125,2023-02-13,South,Furniture,Chairs,171.73,4,0.0,42.82,C4395,Home Office
SO100126,2024-06-16,West,Technology,Copiers,73.9,3,0.0,-7.28,C7396,Home Office
SO100127,2024-06-26,North,Furniture,Chairs,300.59,1,0.0,128.06,C8012,Consumer
SO100128,2024-07-02,South,Office Supplies,Paper,428.19,1,0.0,114.09,C6006,Consumer
SO100129,2025-05-21,South,Office Supplies,Paper,82.69,5,0.0,11.12,C4131,Consumer
SO100130,2025-02-14,West,Office Supplies,Storage,78.61,5,0.0,-6.59,C8928,Consumer
SO100131,2025-03-24,East,Office Supplies,Binders,325.16,1,0.0,32.04,C1735,Small Business
SO100132,2024-07-23,West,Office Supplies,Binders,379.84,1,0.0,141.66,C9601,Consumer
SO100133,2025-01-22,East,Furniture,Bookcases,188.76,2,0.0,-28.09,C8338,Consumer
SO100134,2024-05-23,South,Office Supplies,Pens,466.96,2,0.0,56.92,C3761,Consumer
SO100135,2023-07-30,North,Office Supplies,Storage,355.94,1,0.1,-54.6,C5453,Corporate
SO100136,2023-04-07,South,Furniture,Tables,511.05,1,0.0,122.53,C3348,Home Office
SO100137,2023-09-27,North,Office Supplies,Storage,30.73,1,0.0,8.77,C5672,Consumer
SO100138,2023-01-11,West,Office Supplies,Paper,230.11,2,0.0,-15.79,C2496,Consumer
SO100139,2023-10-07,North,Furniture,Chairs,88.56,2,0.05,-15.17,C9861,Consumer
SO100140,2025-06-11,South,Office Supplies,Storage,46.53,2,0.0,0.32,C2206,Corporate
SO100141,2025-04-29,South,Office Supplies,Storage,431.29,3,0.0,-67.91,C4572,Consumer
SO100142,2025-06-08,South,Furniture,Bookcases,115.11,2,0.0,44.63,C1963,Corporate
SO100143,2023-06-02,South,Office Supplies,Paper,54.8,5,0.0,9.42,C7411,Consumer
SO100144,2024-12-15,North,Furniture,Bookcases,381.7,4,0.2,-9.85,C5965,Corporate
SO100145,2024-04-21,North,Technology,Copiers,227.99,4,0.1,-9.75,C8902,Consumer
SO100146,2024-10-22,West,Office Supplies,Pens,148.96,2,0.2,-19.7,C8495,Consumer
SO100147,2024-02-21,East,Technology,Copiers,371.22,4,0.0,-14.08,C5205,Consumer
SO100148,2023-05-21,North,Technology,Machines,66.44,3,0.0,24.21,C5508,Consumer
SO100149,2023-07-13,South,Technology,Accessories,301.6,3,0.05,47.39,C6320,Consumer
SO100150,2024-08-29,West,Office Supplies,Paper,166.22,5,0.2,-23.38,C7528,Consumer
SO100151,2024-07-26,East,Furniture,Bookcases,289.73,2,0.0,-57.13,C6983,Home Office
SO100152,2024-05-04,North,Furniture,Tables,488.72,2,0.05,121.11,C5821,Corporate
SO100153,2023-06-02,North,Office Supplies,Paper,649.04,3,0.0,239.24,C3838,Corporate
SO100154,2023-12-05,North,Furniture,Chairs,93.66,1,0.0,9.31,C6326,Corporate
SO100155,2025-06-02,West,Technology,Machines,164.07,4,0.0,52.22,C5690,Corporate
SO100156,2025-05-15,South,Office Supplies,Binders,250.19,4,0.05,10.95,C3844,Consumer
SO100157,2023-05-11,South,Technology,Accessories,301.09,1,0.0,45.27,C8994,Consumer
SO100158,2024-05-07,South,Office Supplies,Pens,188.69,2,0.0,-16.65,C4416,Consumer
SO100159,2025-01-02,West,Furniture,Tables,62.47,1,0.05,-8.19,C6920,Corporate
SO100160,2024-09-07,North,Office Supplies,Paper,485.95,1,0.1,100.54,C8514,Corporate
SO100161,2025-05-16,West,Technology,Machines,107.42,2,0.0,36.88,C8229,Consumer
SO100162,2023-09-24,North,Office Supplies,Paper,135.72,3,0.0,13.83,C8743,Consumer
SO100163,2024-11-25,North,Furniture,Chairs,162.82,3,0.1,70.25,C8850,Consumer
SO100164,2025-05-14,North,Technology,Accessories,74.24,2,0.0,-3.89,C4762,Consumer
SO100165,2024-05-04,East,Office Supplies,Paper,507.5,1,0.1,198.76,C4234,Home Office
SO100166,2025-04-30,West,Furniture,Tables,90.66,2,0.0,-4.07,C2673,Corporate
SO100167,2024-04-15,South,Office Supplies,Storage,262.88,5,0.0,-13.92,C1899,Consumer
SO100168,2023-07-18,West,Furniture,Bookcases,83.1,2,0.0,9.02,C5856,Consumer
SO100169,2024-12-07,East,Technology,Phones,40.06,1,0.1,14.42,C2110,Home Office
SO100170,2023-11-24,West,Furniture,Bookcases,135.18,2,0.0,60.13,C1084,Consumer
SO100171,2023-06-26,East,Office Supplies,Paper,114.72,4,0.0,-4.43,C1424,Consumer
SO100172,2024-07-20,North,Office Supplies,Binders,255.61,3,0.0,93.74,C8828,Corporate
SO100173,2023-01-16,West,Office Supplies,Pens,73.6,3,0.0,-2.21,C9398,Corporate
SO100174,2024-02-06,South,Furniture,Tables,235.15,4,0.0,68.22,C6861,Consumer
SO100175,2023-06-20,North,Technology,Copiers,135.23,3,0.0,-21.39,C5396,Corporate
SO100176,2023-01-21,North,Furniture,Bookcases,114.23,3,0.1,48.35,C5611,Home Office
SO100177,2024-09-22,South,Office Supplies,Storage,26.84,2,0.1,8.93,C8775,Corporate
SO100178,2023-10-06,West,Technology,Machines,95.41,4,0.05,-3.47,C7159,Consumer
SO100179,2024-04-30,East,Technology,Copiers,173.23,4,0.05,66.74,C8076,Consumer
SO100180,2024-09-18,North,Office Supplies,Binders,217.74,3,0.0,94.64,C8219,Consumer
SO100181,2024-09-01,East,Office Supplies,Binders,565.6,5,0.0,29.08,C5686,Corporate
SO100182,2024-11-24,South,Office Supplies,Binders,293.4,3,0.0,25.08,C2347,Consumer
SO100183,2025-05-02,West,Technology,Copiers,236.83,1,0.0,13.69,C3613,Home Office
SO100184,2023-01-11,West,Technology,Copiers,400.13,3,0.0,-63.67,C5578,Corporate
SO100185,2023-04-07,East,Technology,Copiers,69.5,5,0.0,21.54,C5154,Corporate
SO100186,2023-07-03,East,Office Supplies,Storage,231.73,5,0.1,-21.23,C6078,Small Business
SO100187,2023-11-14,West,Technology,Copiers,80.38,3,0.0,18.08,C8487,Corporate
SO100188,2024-07-22,West,Furniture,Chairs,419.9,2,0.1,125.79,C9463,Consumer
SO100189,2024-12-30,South,Office Supplies,Binders,341.26,1,0.05,-7.55,C6217,Consumer
SO100190,2024-02-10,West,Office Supplies,Binders,22.04,1,0.0,4.86,C4453,Consumer
SO100191,2023-08-20,West,Office Supplies,Storage,77.78,3,0.2,7.96,C8318,Consumer
SO100192,2023-04-07,North,Office Supplies,Storage,53.01,4,0.0,-6.62,C4149,Consumer
SO100193,2024-05-20,East,Office Supplies,Pens,93.2,5,0.0,32.25,C2391,Small Business
SO100194,2023-01-26,West,Furniture,Bookcases,136.55,4,0.0,55.46,C4733,Consumer
SO100195,2024-05-12,South,Office Supplies,Storage,47.79,4,0.0,9.67,C2217,Home Office
SO100196,2023-05-22,West,Furniture,Chairs,467.0,5,0.0,141.46,C5246,Consumer
SO100197,2023-08-01,South,Furniture,Chairs,46.12,5,0.3,-1.07,C8258,Consumer
SO100198,2024-09-20,East,Technology,Accessories,69.07,5,0.05,-4.91,C2211,Consumer
SO100199,2025-03-22,South,Technology,Accessories,61.15,3,0.0,9.82,C8368,Consumer
SO100200,2024-10-08,West,Technology,Copiers,302.98,5,0.1,-18.09,C7602,Consumer
SO100201,2024-12-18,South,Technology,Phones,410.39,1,0.05,-10.46,C4603,Consumer
SO100202,2024-11-27,East,Office Supplies,Paper,125.91,5,0.1,44.13,C6912,Corporate
SO100203,2024-06-20,West,Office Supplies,Storage,346.03,3,0.0,119.44,C8697,Consumer
SO100204,2023-05-18,North,Office Supplies,Paper,66.47,1,0.2,6.54,C6630,Consumer
SO100205,2024-03-26,East,Office Supplies,Paper,883.15,4,0.05,255.0,C3713,Consumer
SO100206,2023-07-19,South,Office Supplies,Paper,304.15,3,0.2,7.08,C6738,Consumer
SO100207,2025-04-01,North,Technology,Accessories,292.63,4,0.0,52.91,C9825,Home Office
SO100208,2023-11-22,North,Furniture,Tables,98.46,3,0.0,-11.39,C2232,Consumer
SO100209,2024-02-25,West,Furniture,Chairs,42.37,3,0.1,3.01,C9440,Consumer
SO100210,2025-05-19,South,Office Supplies,Pens,126.33,3,0.0,25.23,C9192,Consumer
SO100211,2025-01-30,North,Technology,Accessories,61.65,1,0.0,-9.77,C3863,Consumer
SO100212,2023-01-22,West,Office Supplies,Storage,64.13,3,0.0,1.59,C9360,Consumer
SO100213,2023-10-24,South,Office Supplies,Paper,74.94,5,0.1,21.64,C5126,Consumer
SO100214,2023-03-19,East,Office Supplies,Paper,207.3,4,0.0,85.2,C8376,Consumer
SO100215,2023-08-08,South,Office Supplies,Paper,113.65,5,0.0,-9.06,C9119,Consumer
SO100216,2024-11-20,North,Furniture,Bookcases,89.24,3,0.0,7.83,C7830,Consumer
SO100217,2024-01-05,South,Technology,Machines,188.46,5,0.1,46.31,C3511,Small Business
SO100218,2023-10-31,South,Office Supplies,Binders,164.29,4,0.0,43.61,C4564,Corporate
SO100219,2024-04-06,East,Technology,Copiers,181.66,5,0.0,79.02,C4240,Corporate
SO100220,2024-02-29,East,Technology,Copiers,281.06,4,0.0,-0.32,C4764,Consumer
SO100221,2024-04-07,North,Furniture,Bookcases,51.78,1,0.0,-3.67,C6770,Consumer
SO100222,2024-07-11,East,Office Supplies,Pens,283.92,3,0.05,-17.35,C7048,Consumer
SO100223,2025-05-05,West,Technology,Phones,432.63,5,0.0,89.97,C2142,Small Business
SO100224,2024-10-18,West,Office Supplies,Paper,28.8,2,0.2,-7.85,C9108,Consumer
SO100225,2023-08-23,South,Furniture,Bookcases,78.9,2,0.1,0.6,C4137,Consumer
SO100226,2024-07-11,South,Office Supplies,Binders,197.28,4,0.2,-7.84,C5961,Corporate
SO100227,2024-03-27,North,Office Supplies,Pens,110.01,3,0.05,-10.37,C4598,Consumer
SO100228,2025-06-03,North,Furniture,Tables,161.16,2,0.0,63.11,C6735,Consumer
SO100229,2023-11-19,North,Office Supplies,Storage,169.09,4,0.05,25.95,C8989,Home Office
SO100230,2023-10-30,North,Technology,Copiers,372.17,2,0.0,-72.91,C7765,Home Office
SO100231,2024-01-20,South,Office Supplies,Binders,206.62,5,0.1,89.1,C4234,Corporate
SO100232,2024-02-18,East,Technology,Copiers,194.05,5,0.2,43.86,C6730,Consumer
SO100233,2023-03-05,North,Office Supplies,Storage,183.51,1,0.1,59.74,C1078,Consumer
SO100234,2025-04-23,North,Technology,Accessories,26.27,1,0.2,6.42,C2768,Corporate
SO100235,2024-07-01,East,Office Supplies,Paper,209.47,1,0.0,-33.08,C9834,Small Business
SO100236,2024-04-22,South,Office Supplies,Binders,124.32,1,0.0,38.75,C3691,Home Office
SO100237,2024-06-29,East,Technology,Accessories,374.8,5,0.05,93.79,C1148,Corporate
SO100238,2024-10-04,West,Furniture,Bookcases,218.29,1,0.0,67.34,C5256,Consumer
SO100239,2024-04-13,West,Technology,Phones,257.4,1,0.05,20.24,C5295,Consumer
SO100240,2024-08-18,South,Technology,Copiers,123.38,2,0.0,30.94,C6621,Consumer
SO100241,2023-02-18,North,Office Supplies,Storage,627.1,3,0.0,-9.3,C8995,Home Office
SO100242,2025-04-02,East,Technology,Copiers,74.03,3,0.1,27.66,C8345,Consumer
SO100243,2023-10-16,East,Office Supplies,Pens,117.29,5,0.3,3.91,C6817,Consumer
SO100244,2023-09-11,North,Technology,Accessories,426.38,5,0.0,33.52,C4994,Consumer
SO100245,2024-10-30,North,Technology,Copiers,16.39,4,0.0,0.45,C4129,Corporate
SO100246,2023-02-25,East,Furniture,Tables,49.65,4,0.0,3.35,C9676,Corporate
SO100247,2024-12-23,North,Office Supplies,Pens,42.04,4,0.0,-2.84,C8659,Consumer
SO100248,2023-10-15,East,Office Supplies,Binders,697.66,2,0.05,109.96,C2136,Consumer
SO100249,2023-01-29,North,Furniture,Bookcases,145.19,1,0.1,-8.06,C5209,Consumer
SO100250,2023-08-11,South,Office Supplies,Paper,398.74,1,0.1,-15.16,C4484,Consumer
SO100251,2023-11-27,East,Furniture,Tables,172.6,1,0.05,-22.57,C8080,Consumer
SO100252,2023-05-17,North,Office Supplies,Binders,264.09,2,0.0,47.9,C2554,Consumer
SO100253,2023-04-20,East,Office Supplies,Binders,108.71,4,0.05,-7.97,C5590,Corporate
SO100254,2024-09-03,East,Office Supplies,Storage,538.62,3,0.0,51.1,C7409,Home Office
SO100255,2023-02-02,West,Office Supplies,Storage,105.16,1,0.1,33.4,C6749,Home Office
SO100256,2024-06-04,West,Office Supplies,Storage,268.27,2,0.0,-21.28,C3124,Consumer
SO100257,2024-08-19,West,Office Supplies,Storage,157.62,2,0.0,67.66,C6096,Corporate
SO100258,2024-07-16,West,Office Supplies,Pens,260.85,1,0.0,-39.68,C5516,Home Office
SO100259,2024-08-14,North,Furniture,Chairs,130.61,2,0.0,57.36,C1005,Consumer
SO100260,2023-06-19,East,Technology,Phones,367.34,3,0.0,19.79,C1928,Small Business
SO100261,2025-04-12,North,Technology,Phones,189.17,4,0.0,64.78,C9576,Consumer
SO100262,2024-09-12,West,Office Supplies,Storage,134.2,4,0.0,44.25,C4023,Small Business
SO100263,2023-07-31,West,Office Supplies,Storage,151.01,4,0.0,-23.77,C7191,Corporate
SO100264,2023-01-25,West,Office Supplies,Pens,110.92,2,0.3,13.16,C2717,Consumer
SO100265,2023-04-24,West,Office Supplies,Pens,447.91,1,0.0,4.73,C2694,Consumer
SO100266,2025-02-27,North,Office Supplies,Binders,242.06,5,0.0,62.04,C4729,Home Office
SO100267,2023-02-14,North,Technology,Accessories,152.1,3,0.1,32.57,C4923,Home Office
SO100268,2023-09-29,West,Office Supplies,Pens,510.03,2,0.05,13.91,C7978,Consumer
SO100269,2024-11-01,East,Furniture,Tables,163.62,2,0.05,47.65,C1857,Consumer
SO100270,2024-04-20,South,Furniture,Bookcases,257.02,1,0.2,-18.65,C9956,Consumer
SO100271,2024-05-14,South,Office Supplies,Binders,160.19,2,0.0,-11.02,C1435,Consumer
SO100272,2025-02-26,South,Office Supplies,Binders,178.67,3,0.0,-27.7,C3177,Small Business
SO100273,2023-09-09,South,Furniture,Chairs,99.23,1,0.0,-2.02,C3664,Consumer
SO100274,2024-10-28,North,Furniture,Tables,386.9,5,0.0,111.08,C5725,Consumer
SO100275,2023-08-24,North,Office Supplies,Paper,60.53,2,0.0,7.91,C3541,Corporate
SO100276,2023-03-28,North,Furniture,Tables,132.67,1,0.0,-2.32,C9097,Consumer
SO100277,2024-01-27,South,Technology,Accessories,76.59,2,0.05,-5.53,C2495,Consumer
SO100278,2025-01-09,South,Office Supplies,Pens,369.0,4,0.1,160.6,C6069,Consumer
SO100279,2023-02-23,East,Office Supplies,Binders,77.3,3,0.0,0.61,C7171,Consumer
SO100280,2024-03-07,East,Technology,Phones,225.21,3,0.0,19.96,C9108,Corporate
SO100281,2025-05-28,South,Furniture,Chairs,472.55,4,0.0,-61.83,C3718,Consumer
SO100282,2024-03-20,East,Office Supplies,Storage,71.1,5,0.0,28.31,C2563,Consumer
SO100283,2025-01-25,West,Furniture,Bookcases,281.46,4,0.0,-0.31,C6773,Home Office
SO100284,2023-10-18,South,Furniture,Chairs,93.32,4,0.0,36.16,C5620,Corporate
SO100285,2023-04-11,North,Furniture,Bookcases,235.27,1,0.0,-1.6,C4503,Consumer
SO100286,2025-01-10,East,Office Supplies,Storage,242.84,3,0.0,97.79,C7061,Consumer
SO100287,2025-03-11,South,Office Supplies,Pens,264.66,4,0.05,25.02,C3678,Consumer
SO100288,2024-03-27,South,Technology,Machines,73.59,5,0.0,-10.08,C7752,Home Office
SO100289,2025-03-03,East,Office Supplies,Pens,461.22,2,0.0,150.05,C2420,Corporate
SO100290,2024-12-24,South,Office Supplies,Paper,255.58,4,0.0,93.46,C9471,Corporate
SO100291,2023-08-18,East,Office Supplies,Storage,57.01,1,0.0,-8.74,C8486,Consumer
