OrderID,OrderDate,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,CustomerID,Segment,year_month
SO100208,2023-11-22,North,Furniture,Tables,98.46,3,0.0,-11.39,C2232,Consumer,2023-11
SO100211,2025-01-30,North,Technology,Accessories,61.65,1,0.0,-9.77,C3863,Consumer,2025-01
SO100215,2023-08-08,South,Office Supplies,Paper,113.65,5,0.0,-9.06,C9119,Consumer,2023-08
SO100220,2024-02-29,East,Technology,Copiers,281.06,4,0.0,-0.32,C4764,Consumer,2024-02
SO100221,2024-04-07,North,Furniture,Bookcases,51.78,1,0.0,-3.67,C6770,Consumer,2024-04
SO100222,2024-07-11,East,Office Supplies,Pens,283.92,3,0.05,-17.35,C7048,Consumer,2024-07
SO100224,2024-10-18,West,Office Supplies,Paper,28.8,2,0.2,-7.85,C9108,Consumer,2024-10
SO100226,2024-07-11,South,Office Supplies,Binders,197.28,4,0.2,-7.84,C5961,Corporate,2024-07
SO100227,2024-03-27,North,Office Supplies,Pens,110.01,3,0.05,-10.37,C4598,Consumer,2024-03
SO100230,2023-10-30,North,Technology,Copiers,372.17,2,0.0,-72.91,C7765,Home Office,2023-10
SO100235,2024-07-01,East,Office Supplies,Paper,209.47,1,0.0,-33.08,C9834,Small Business,2024-07
SO100241,2023-02-18,North,Office Supplies,Storage,627.1,3,0.0,-9.3,C8995,Home Office,2023-02
SO100247,2024-12-23,North,Office Supplies,Pens,42.04,4,0.0,-2.84,C8659,Consumer,2024-12
SO100249,2023-01-29,North,Furniture,Bookcases,145.19,1,0.1,-8.06,C5209,Consumer,2023-01
SO100250,2023-08-11,South,Office Supplies,Paper,398.74,1,0.1,-15.16,C4484,Consumer,2023-08
SO100251,2023-11-27,East,Furniture,Tables,172.6,1,0.05,-22.57,C8080,Consumer,2023-11
SO100253,2023-04-20,East,Office Supplies,Binders,108.71,4,0.05,-7.97,C5590,Corporate,2023-04
SO100256,2024-06-04,West,Office Supplies,Storage,268.27,2,0.0,-21.28,C3124,Consumer,2024-06
SO100258,2024-07-16,West,Office Supplies,Pens,260.85,1,0.0,-39.68,C5516,Home Office,2024-07
SO100263,2023-07-31,West,Office Supplies,Storage,151.01,4,0.0,-23.77,C7191,Corporate,2023-07
SO100270,2024-04-20,South,Furniture,Bookcases,257.02,1,0.2,-18.65,C9956,Consumer,2024-04
SO100271,2024-05-14,South,Office Supplies,Binders,160.19,2,0.0,-11.02,C1435,Consumer,2024-05
SO100272,2025-02-26,South,Office Supplies,Binders,178.67,3,0.0,-27.7,C3177,Small Business,2025-02
SO100273,2023-09-09,South,Furniture,Chairs,99.23,1,0.0,-2.02,C3664,Consumer,2023-09
SO100276,2023-03-28,North,Furniture,Tables,132.67,1,0.0,-2.32,C9097,Consumer,2023-03
SO100277,2024-01-27,South,Technology,Accessories,76.59,2,0.05,-5.53,C2495,Consumer,2024-01
SO100281,2025-05-28,South,Furniture,Chairs,472.55,4,0.0,-61.83,C3718,Consumer,2025-05
SO100283,2025-01-25,West,Furniture,Bookcases,281.46,4,0.0,-0.31,C6773,Home Office,2025-01
SO100285,2023-04-11,North,Furniture,Bookcases,235.27,1,0.0,-1.6,C4503,Consumer,2023-04
SO100288,2024-03-27,South,Technology,Machines,73.59,5,0.0,-10.08,C7752,Home Office,2024-03
SO100291,2023-08-18,East,Office Supplies,Storage,57.01,1,0.0,-8.74,C8486,Consumer,2023-08
SO100295,2023-08-20,North,Technology,Machines,454.59,4,0.0,-87.81,C7434,Consumer,2023-08
SO100300,2024-02-21,East,Furniture,Tables,153.18,4,0.1,-12.91,C4699,Consumer,2024-02
SO100311,2024-05-15,East,Furniture,Tables,109.66,3,0.1,-23.19,C5455,Consumer,2024-05
SO100313,2023-05-26,West,Office Supplies,Binders,44.06,2,0.1,-8.05,C1279,Home Office,2023-05
SO100315,2023-06-13,North,Office Supplies,Paper,55.91,3,0.0,-10.33,C7397,Home Office,2023-06
SO100320,2024-11-12,South,Furniture,Tables,457.78,1,0.0,-30.61,C9486,Home Office,2024-11
SO100322,2024-12-18,North,Technology,Machines,89.67,3,0.2,-15.23,C6429,Corporate,2024-12
SO100326,2023-08-29,West,Office Supplies,Pens,57.81,4,0.0,-1.13,C3431,Home Office,2023-08
SO100327,2023-02-18,West,Office Supplies,Storage,151.28,3,0.05,-0.22,C7853,Consumer,2023-02
SO100332,2023-09-14,West,Office Supplies,Paper,168.51,1,0.0,-7.05,C2258,Corporate,2023-09
SO100334,2024-05-18,East,Office Supplies,Pens,98.44,2,0.0,-18.47,C5195,Consumer,2024-05
SO100335,2025-02-23,West,Technology,Copiers,222.26,5,0.0,-28.5,C3498,Consumer,2025-02
SO100336,2023-10-03,North,Furniture,Chairs,126.23,4,0.1,-24.8,C1477,Consumer,2023-10
SO100339,2025-01-02,South,Office Supplies,Binders,816.13,4,0.1,-55.01,C1137,Consumer,2025-01
SO100341,2025-05-29,North,Furniture,Tables,116.84,2,0.1,-7.41,C8065,Consumer,2025-05
SO100342,2023-05-19,West,Technology,Phones,587.55,3,0.0,-39.58,C4136,Consumer,2023-05
SO100344,2023-11-21,East,Technology,Phones,91.57,3,0.0,-12.01,C6043,Consumer,2023-11
SO100345,2024-02-12,East,Technology,Accessories,427.63,2,0.1,-21.54,C7585,Consumer,2024-02
SO100346,2023-09-28,East,Office Supplies,Pens,632.38,1,0.05,-11.21,C9324,Consumer,2023-09
SO100348,2024-06-17,East,Office Supplies,Paper,242.47,1,0.0,-3.05,C4657,Consumer,2024-06
SO100352,2024-03-16,East,Technology,Copiers,304.42,4,0.2,-19.82,C3754,Consumer,2024-03
SO100355,2024-07-20,North,Office Supplies,Binders,58.15,4,0.05,-0.84,C1164,Consumer,2024-07
SO100358,2024-06-10,East,Furniture,Bookcases,97.54,5,0.1,-5.81,C8251,Consumer,2024-06
SO100371,2024-03-14,West,Furniture,Chairs,62.45,1,0.0,-1.14,C4137,Consumer,2024-03
SO100379,2023-02-13,East,Office Supplies,Binders,326.1,2,0.0,-20.6,C2679,Corporate,2023-02
SO100381,2025-06-01,South,Office Supplies,Storage,63.18,5,0.1,-3.97,C9797,Small Business,2025-06
SO100386,2025-04-17,South,Office Supplies,Pens,62.85,5,0.0,-5.47,C5484,Consumer,2025-04
SO100389,2023-06-21,North,Office Supplies,Storage,243.58,5,0.1,-6.59,C4373,Consumer,2023-06
SO100390,2024-02-15,West,Furniture,Chairs,253.46,2,0.0,-37.92,C7190,Home Office,2024-02
SO100391,2024-11-27,West,Technology,Copiers,113.33,3,0.1,-21.84,C4253,Consumer,2024-11
SO100397,2023-01-02,South,Technology,Machines,61.48,4,0.0,-11.73,C3299,Consumer,2023-01
SO100399,2023-05-08,East,Furniture,Chairs,103.38,4,0.0,-14.06,C5183,Consumer,2023-05
SO100401,2024-02-15,East,Office Supplies,Storage,67.36,5,0.0,-1.67,C8782,Small Business,2024-02
SO100406,2023-05-31,North,Office Supplies,Binders,713.2,1,0.3,-123.24,C7695,Consumer,2023-05
SO100408,2025-03-31,South,Office Supplies,Storage,55.07,1,0.0,-5.05,C9170,Corporate,2025-03
SO100421,2023-10-07,South,Technology,Phones,421.48,5,0.1,-69.84,C1210,Consumer,2023-10
SO100423,2024-03-26,South,Office Supplies,Binders,219.57,2,0.0,-37.34,C2301,Consumer,2024-03
SO100425,2024-04-21,West,Furniture,Chairs,206.61,2,0.0,-22.14,C4610,Consumer,2024-04
SO100429,2024-07-19,South,Technology,Phones,155.6,2,0.1,-20.57,C9550,Consumer,2024-07
SO100430,2024-11-12,South,Technology,Accessories,322.06,4,0.2,-52.73,C7376,Home Office,2024-11
SO100431,2024-03-17,North,Technology,Phones,888.01,2,0.1,-111.84,C6472,Consumer,2024-03
SO100434,2025-01-28,North,Technology,Machines,418.07,3,0.1,-66.11,C7588,Corporate,2025-01
SO100435,2025-01-03,West,Office Supplies,Paper,67.59,2,0.05,-9.76,C5463,Home Office,2025-01
SO100439,2023-12-29,South,Office Supplies,Pens,95.28,1,0.0,-0.8,C2762,Consumer,2023-12
SO100442,2023-04-23,South,Technology,Accessories,81.22,5,0.0,-10.34,C9255,Home Office,2023-04
SO100443,2023-05-25,West,Furniture,Tables,185.22,2,0.3,-11.99,C1011,Consumer,2023-05
SO100444,2023-06-08,North,Office Supplies,Binders,177.96,1,0.05,-12.79,C8669,Consumer,2023-06
SO100445,2023-04-26,East,Technology,Phones,186.27,5,0.1,-24.25,C5560,Consumer,2023-04
SO100446,2024-09-10,South,Office Supplies,Binders,221.86,1,0.1,-33.91,C6323,Consumer,2024-09
SO100459,2023-11-25,North,Office Supplies,Storage,128.53,4,0.05,-21.55,C8627,Consumer,2023-11
SO100464,2024-03-01,West,Furniture,Bookcases,86.67,4,0.0,-1.42,C4866,Consumer,2024-03
SO100469,2023-01-19,North,Office Supplies,Binders,177.24,1,0.0,-28.29,C2115,Consumer,2023-01
SO100474,2023-12-27,North,Furniture,Tables,115.13,5,0.0,-12.59,C5316,Home Office,2023-12
SO100475,2023-08-06,East,Office Supplies,Pens,312.28,2,0.05,-33.77,C5051,Home Office,2023-08
SO100476,2023-04-23,South,Office Supplies,Binders,350.28,2,0.1,-50.41,C2261,Small Business,2023-04
SO100477,2024-05-26,South,Office Supplies,Storage,317.02,1,0.0,-45.75,C2997,Consumer,2024-05
SO100480,2023-04-09,East,Office Supplies,Paper,444.69,5,0.2,-53.24,C7086,Corporate,2023-04
SO100482,2024-12-19,East,Office Supplies,Binders,391.69,2,0.0,-29.19,C7389,Consumer,2024-12
SO100486,2025-03-05,East,Office Supplies,Binders,341.77,3,0.0,-44.95,C5087,Consumer,2025-03
SO100492,2023-08-26,South,Technology,Machines,79.63,3,0.1,-13.21,C2427,Consumer,2023-08
SO100493,2024-05-03,West,Office Supplies,Paper,326.02,5,0.0,-34.53,C5429,Corporate,2024-05
SO100495,2025-02-18,South,Office Supplies,Pens,409.59,5,0.0,-42.06,C5463,Corporate,2025-02
SO100497,2023-04-07,West,Office Supplies,Storage,113.07,3,0.0,-3.0,C9525,Small Business,2023-04
SO100500,2023-12-10,North,Office Supplies,Storage,649.29,5,0.1,-84.41,C9621,Corporate,2023-12
SO100503,2024-01-15,South,Technology,Copiers,38.63,2,0.1,-7.1,C7422,Corporate,2024-01
SO100504,2024-06-28,North,Office Supplies,Storage,150.03,3,0.0,-0.32,C7293,Consumer,2024-06
SO100506,2025-05-09,South,Furniture,Tables,153.54,3,0.0,-14.46,C9816,Consumer,2025-05
SO100508,2025-06-09,South,Technology,Phones,306.83,3,0.0,-43.59,C7780,Home Office,2025-06
SO100510,2024-10-24,West,Technology,Copiers,66.46,3,0.2,-3.76,C4527,Consumer,2024-10
SO100512,2024-03-30,South,Furniture,Bookcases,265.99,3,0.0,-35.02,C1943,Home Office,2024-03
SO100522,2025-03-29,West,Furniture,Bookcases,34.44,2,0.0,-1.02,C3324,Consumer,2025-03
SO100523,2025-03-25,West,Office Supplies,Paper,142.72,2,0.0,-27.92,C4945,Small Business,2025-03
SO100527,2025-01-13,North,Office Supplies,Binders,136.57,2,0.2,-18.4,C5481,Home Office,2025-01
SO100531,2023-12-27,West,Technology,Accessories,345.48,1,0.3,-36.47,C8879,Consumer,2023-12
SO100532,2024-06-26,North,Office Supplies,Paper,47.12,2,0.0,-4.89,C2376,Home Office,2024-06
SO100535,2023-06-08,North,Office Supplies,Storage,236.14,1,0.0,-25.92,C4567,Consumer,2023-06
SO100536,2024-02-12,West,Office Supplies,Binders,423.54,4,0.0,-23.21,C1192,Consumer,2024-02
SO100541,2023-05-21,South,Technology,Copiers,235.79,3,0.1,-35.48,C6562,Consumer,2023-05
SO100542,2024-10-19,East,Technology,Machines,602.49,2,0.05,-114.84,C1423,Consumer,2024-10
SO100545,2024-06-06,West,Office Supplies,Paper,267.2,5,0.0,-2.81,C1530,Consumer,2024-06
SO100548,2024-10-07,East,Office Supplies,Pens,193.51,1,0.2,-0.8,C2680,Home Office,2024-10
SO100550,2023-02-12,North,Technology,Accessories,182.75,4,0.05,-12.7,C8466,Home Office,2023-02
SO100551,2024-08-21,East,Technology,Copiers,25.24,1,0.0,-3.37,C7623,Home Office,2024-08
SO100552,2025-04-05,West,Technology,Accessories,187.22,2,0.2,-38.01,C8793,Consumer,2025-04
SO100555,2025-05-05,North,Furniture,Tables,311.14,2,0.0,-6.71,C4744,Corporate,2025-05
SO100559,2025-03-27,South,Technology,Copiers,139.35,1,0.1,-23.97,C8978,Corporate,2025-03
SO100567,2025-06-05,South,Office Supplies,Paper,429.32,2,0.0,-67.4,C7755,Consumer,2025-06
SO100570,2024-10-05,North,Office Supplies,Binders,84.74,5,0.1,-10.38,C5787,Corporate,2024-10
SO100571,2024-11-29,South,Technology,Copiers,175.89,3,0.0,-28.22,C8536,Corporate,2024-11
SO100575,2023-12-19,North,Office Supplies,Paper,660.75,4,0.1,-125.45,C9740,Consumer,2023-12
SO100579,2023-12-23,West,Furniture,Tables,278.2,5,0.1,-16.55,C5446,Home Office,2023-12
SO100582,2023-06-08,East,Furniture,Tables,135.9,2,0.05,-24.73,C3303,Consumer,2023-06
SO100584,2023-05-25,West,Office Supplies,Storage,161.85,5,0.1,-21.0,C5067,Consumer,2023-05
SO100592,2023-10-28,East,Furniture,Chairs,81.94,4,0.0,-0.65,C9859,Consumer,2023-10
SO100593,2025-03-03,West,Office Supplies,Paper,78.53,5,0.0,-4.83,C8940,Home Office,2025-03
SO100595,2024-06-17,East,Office Supplies,Binders,102.65,4,0.0,-17.39,C8732,Consumer,2024-06
SO100599,2024-07-05,East,Technology,Machines,1352.37,1,0.0,-11.73,C2040,Consumer,2024-07
SO100604,2023-02-12,South,Office Supplies,Paper,66.45,1,0.0,-3.53,C7004,Corporate,2023-02
SO100605,2025-04-26,North,Technology,Accessories,124.26,2,0.0,-12.17,C9919,Consumer,2025-04
SO100606,2024-12-23,East,Office Supplies,Storage,115.58,2,0.0,-17.25,C7655,Consumer,2024-12
SO100607,2025-05-20,East,Office Supplies,Storage,208.65,4,0.0,-13.35,C5403,Consumer,2025-05
SO100610,2024-11-19,East,Office Supplies,Storage,564.9,1,0.2,-13.55,C5006,Consumer,2024-11
SO100614,2025-02-12,East,Furniture,Bookcases,41.86,3,0.1,-4.98,C9392,Consumer,2025-02
SO100616,2023-08-19,West,Furniture,Tables,277.31,1,0.0,-17.68,C8696,Home Office,2023-08
SO100620,2023-10-24,East,Technology,Accessories,199.56,1,0.0,-23.61,C3276,Home Office,2023-10
SO100623,2023-01-08,South,Office Supplies,Paper,147.59,1,0.0,-5.98,C8588,Home Office,2023-01
SO100627,2023-12-01,North,Technology,Machines,344.37,2,0.0,-55.74,C4215,Home Office,2023-12
SO100629,2024-06-23,West,Furniture,Chairs,158.86,2,0.0,-15.48,C3957,Consumer,2024-06
SO100633,2023-06-24,South,Furniture,Bookcases,473.5,3,0.1,-28.99,C6271,Consumer,2023-06
SO100634,2023-01-10,East,Office Supplies,Binders,229.2,3,0.0,-21.38,C4475,Consumer,2023-01
SO100635,2025-04-15,South,Furniture,Bookcases,280.67,1,0.2,-39.53,C1443,Consumer,2025-04
SO100636,2025-02-10,North,Technology,Copiers,37.53,5,0.1,-7.09,C2019,Corporate,2025-02
SO100639,2023-08-16,North,Office Supplies,Storage,75.72,5,0.0,-7.17,C3586,Home Office,2023-08
SO100640,2024-08-15,East,Furniture,Chairs,94.05,3,0.05,-12.03,C6110,Home Office,2024-08
SO100641,2023-10-12,South,Technology,Phones,315.48,4,0.0,-60.79,C3392,Consumer,2023-10
SO100646,2023-12-01,West,Furniture,Chairs,95.43,1,0.3,-11.3,C2863,Consumer,2023-12
SO100647,2023-12-26,South,Office Supplies,Storage,400.21,1,0.0,-67.96,C4776,Consumer,2023-12
SO100648,2024-03-30,North,Furniture,Bookcases,101.2,2,0.0,-5.65,C6577,Consumer,2024-03
SO100652,2023-03-05,West,Office Supplies,Storage,104.99,2,0.1,-1.06,C7799,Corporate,2023-03
SO100654,2025-01-03,East,Office Supplies,Pens,419.2,2,0.05,-35.87,C2827,Consumer,2025-01
SO100655,2024-10-20,South,Office Supplies,Storage,75.14,5,0.0,-0.2,C8940,Consumer,2024-10
SO100658,2023-02-09,South,Furniture,Tables,43.2,5,0.05,-6.18,C8492,Home Office,2023-02
SO100659,2025-03-07,East,Office Supplies,Binders,283.48,3,0.0,-31.95,C7244,Consumer,2025-03
SO100661,2023-01-30,South,Office Supplies,Paper,219.18,4,0.05,-32.02,C1861,Consumer,2023-01
SO100663,2023-12-26,East,Office Supplies,Binders,25.62,1,0.2,-4.24,C4359,Consumer,2023-12
SO100665,2025-05-24,West,Office Supplies,Paper,332.15,3,0.0,-34.4,C7562,Consumer,2025-05
SO100666,2024-02-01,West,Office Supplies,Storage,226.87,1,0.05,-14.37,C3590,Consumer,2024-02
SO100667,2023-05-26,East,Office Supplies,Storage,129.49,4,0.2,-3.78,C2294,Consumer,2023-05
SO100668,2023-03-13,West,Office Supplies,Paper,261.2,4,0.1,-51.14,C6264,Consumer,2023-03
SO100672,2023-07-04,North,Office Supplies,Binders,127.47,5,0.0,-24.55,C2234,Home Office,2023-07
SO100677,2023-06-29,West,Office Supplies,Pens,22.22,3,0.0,-1.82,C4320,Consumer,2023-06
SO100679,2024-06-26,South,Technology,Copiers,150.24,4,0.0,-12.28,C8444,Home Office,2024-06
SO100682,2024-04-20,East,Office Supplies,Paper,156.29,3,0.0,-16.08,C4866,Consumer,2024-04
SO100685,2024-02-11,North,Furniture,Bookcases,40.05,3,0.05,-7.84,C6450,Consumer,2024-02
SO100686,2024-12-17,West,Furniture,Bookcases,40.58,2,0.0,-0.26,C9469,Consumer,2024-12
SO100688,2024-01-01,East,Office Supplies,Storage,47.88,5,0.1,-1.66,C6237,Small Business,2024-01
SO100689,2023-01-23,East,Furniture,Chairs,446.39,3,0.1,-87.25,C6527,Home Office,2023-01
SO100691,2023-08-10,East,Technology,Copiers,248.38,2,0.05,-22.14,C9993,Consumer,2023-08
SO100696,2024-06-27,East,Furniture,Chairs,27.85,5,0.05,-0.85,C8018,Consumer,2024-06
SO100700,2024-01-13,East,Office Supplies,Binders,79.25,5,0.0,-5.7,C7651,Consumer,2024-01
SO100702,2023-06-23,South,Furniture,Tables,82.82,4,0.0,-10.17,C5021,Consumer,2023-06
SO100704,2023-12-09,North,Technology,Accessories,95.67,2,0.0,-18.24,C7083,Corporate,2023-12
SO100706,2023-07-19,South,Technology,Phones,64.02,4,0.0,-1.83,C5503,Consumer,2023-07
SO100707,2024-11-19,West,Office Supplies,Binders,94.54,3,0.0,-1.03,C9233,Small Business,2024-11
SO100713,2024-08-14,South,Office Supplies,Pens,49.79,3,0.0,-5.73,C3884,Consumer,2024-08
SO100716,2023-08-03,South,Office Supplies,Storage,229.62,1,0.1,-29.21,C7981,Home Office,2023-08
SO100721,2023-09-29,West,Furniture,Tables,127.8,5,0.0,-6.31,C2793,Consumer,2023-09
SO100729,2024-09-07,North,Office Supplies,Paper,348.62,1,0.0,-43.28,C5394,Consumer,2024-09
SO100745,2023-01-27,North,Furniture,Tables,99.71,5,0.1,-19.61,C9451,Consumer,2023-01
SO100748,2024-05-16,West,Office Supplies,Binders,262.44,1,0.05,-52.43,C1872,Consumer,2024-05
SO100750,2025-03-13,South,Office Supplies,Paper,376.92,5,0.1,-5.05,C6154,Consumer,2025-03
SO100753,2023-07-16,South,Furniture,Bookcases,195.01,4,0.05,-14.33,C7211,Home Office,2023-07
SO100755,2023-04-29,North,Technology,Accessories,480.51,4,0.2,-55.0,C9554,Consumer,2023-04
SO100756,2023-05-27,East,Technology,Phones,81.07,2,0.0,-13.24,C2491,Corporate,2023-05
SO100760,2024-01-13,East,Office Supplies,Binders,664.49,2,0.05,-128.31,C2949,Consumer,2024-01
SO100762,2025-04-24,East,Technology,Accessories,110.49,5,0.05,-13.37,C8109,Home Office,2025-04
SO100763,2024-08-03,South,Office Supplies,Pens,656.78,1,0.0,-47.38,C5926,Corporate,2024-08
SO100764,2023-06-23,East,Office Supplies,Binders,271.23,3,0.1,-49.33,C3348,Corporate,2023-06
SO100765,2023-07-12,East,Furniture,Bookcases,183.58,5,0.0,-8.35,C8448,Consumer,2023-07
SO100766,2023-03-31,West,Office Supplies,Pens,206.43,4,0.0,-30.63,C4405,Consumer,2023-03
SO100768,2025-02-14,North,Furniture,Tables,155.19,5,0.0,-21.17,C4574,Consumer,2025-02
SO100770,2023-09-04,West,Office Supplies,Paper,101.22,4,0.0,-1.31,C8168,Consumer,2023-09
SO100771,2023-10-17,West,Furniture,Bookcases,119.49,1,0.05,-4.37,C9671,Corporate,2023-10
SO100772,2024-07-24,South,Furniture,Tables,44.24,2,0.0,-8.19,C6373,Consumer,2024-07
SO100773,2023-09-21,East,Technology,Copiers,487.96,2,0.0,-14.4,C2096,Consumer,2023-09
SO100777,2023-04-29,South,Office Supplies,Storage,180.44,5,0.0,-17.22,C1642,Consumer,2023-04
SO100778,2025-05-21,East,Technology,Machines,154.84,1,0.2,-11.99,C8196,Consumer,2025-05
